Test Case,Metric,Mean,Std Dev
136,f1,0.9043,0.1439
136,accuracy,0.8438,0.1413
138,precision,0.0000,0.0000
138,recall,0.0000,0.0000
138,f1,0.0000,0.0000
138,accuracy,0.0000,0.0000
132,precision,1.0000,0.0000
132,recall,0.8867,0.0340
132,f1,0.9396,0.0199
132,accuracy,0.8867,0.0340
135,precision,0.9220,0.0584
135,recall,0.9006,0.1895
135,f1,0.8968,0.1162
135,accuracy,0.8308,0.1704
134,precision,0.8761,0.0470
134,recall,0.9748,0.0583
134,f1,0.9201,0.0153
134,accuracy,0.8523,0.0249
142,precision,0.8276,0.0073
142,recall,0.9622,0.0485
142,f1,0.8895,0.0252
142,accuracy,0.8019,0.0404
103,precision,0.9583,0.1508
103,recall,0.8993,0.2216
103,f1,0.9167,0.1832
103,accuracy,0.8818,0.2152
118,precision,0.8835,0.0289
118,recall,0.9821,0.0365
118,f1,0.9297,0.0235
118,accuracy,0.8694,0.0404
143,precision,0.7778,0.0000
143,recall,1.0000,0.0000
143,f1,0.8750,0.0000
143,accuracy,0.7778,0.0000
